FDP,Power,Time,Method,q,LogTime
0.125,0.7954545454545454,0.005955934524536133,LOO-cfBH,0.1,-2.225050085229626
0.2711864406779661,0.9772727272727273,0.006710052490234375,LOO-cfBH,0.2,-2.1732740824942
0.3230769230769231,1.0,0.006757974624633789,LOO-cfBH,0.3,-2.1701834432805973
0.06666666666666667,0.6363636363636364,0.0038771629333496094,cfBH,0.1,-2.4114859478790924
0.2631578947368421,0.9545454545454546,0.0036840438842773438,cfBH,0.2,-2.4336752051348034
0.3230769230769231,1.0,0.004330873489379883,cfBH,0.3,-2.363424502408853
0.038461538461538464,0.5681818181818182,0.3191239833831787,RO-cfBH,0.1,-0.49604055569503036
0.22448979591836735,0.8636363636363636,0.3191869258880615,RO-cfBH,0.2,-0.49595490595212505
0.2631578947368421,0.9545454545454546,0.3082752227783203,RO-cfBH,0.3,-0.5110613797271922
0.125,0.7954545454545454,0.006669044494628906,LOO-cfBH,0.1,-2.175936385039385
0.2711864406779661,0.9772727272727273,0.0070037841796875,LOO-cfBH,0.2,-2.1546672450864377
0.3230769230769231,1.0,0.006526947021484375,LOO-cfBH,0.3,-2.1852899124105614
0.13636363636363635,0.8636363636363636,0.0037987232208251953,cfBH,0.1,-2.4203623484687866
0.23214285714285715,0.9772727272727273,0.003576993942260742,cfBH,0.2,-2.4464817953402562
0.3230769230769231,1.0,0.0036668777465820312,cfBH,0.3,-2.435703569142174
0.038461538461538464,0.5681818181818182,0.2980971336364746,RO-cfBH,0.1,-0.5256421999212341
0.22448979591836735,0.8636363636363636,0.34650087356567383,RO-cfBH,0.2,-0.4602956661480663
0.2631578947368421,0.9545454545454546,0.29824209213256836,RO-cfBH,0.3,-0.5254310627916338
0.125,0.7954545454545454,0.005960941314697266,LOO-cfBH,0.1,-2.2246851537666648
0.2711864406779661,0.9772727272727273,0.005995988845825195,LOO-cfBH,0.2,-2.2221391837292073
0.3230769230769231,1.0,0.00626683235168457,LOO-cfBH,0.3,-2.2029519232531425
0.11428571428571428,0.7045454545454546,0.003849029541015625,cfBH,0.1,-2.414648755714751
0.26666666666666666,1.0,0.003580331802368164,cfBH,0.2,-2.446076723842093
0.30158730158730157,1.0,0.003587961196899414,cfBH,0.3,-2.4451522624126696
0.038461538461538464,0.5681818181818182,0.29349708557128906,RO-cfBH,0.1,-0.5323962069430834
0.22448979591836735,0.8636363636363636,0.2943580150604248,RO-cfBH,0.2,-0.5311241343069724
0.2631578947368421,0.9545454545454546,0.290241003036499,RO-cfBH,0.3,-0.5372412337501533
0.125,0.7954545454545454,0.005839109420776367,LOO-cfBH,0.1,-2.2336533863013543
0.2711864406779661,0.9772727272727273,0.005881071090698242,LOO-cfBH,0.2,-2.2305435707915766
0.3230769230769231,1.0,0.005800008773803711,LOO-cfBH,0.3,-2.236571349469536
0.24074074074074073,0.9318181818181818,0.0035970211029052734,cfBH,0.1,-2.444057014266997
0.3114754098360656,0.9545454545454546,0.003681659698486328,cfBH,0.2,-2.4339563564891575
0.3230769230769231,1.0,0.0037751197814941406,cfBH,0.3,-2.423069264003893
0.038461538461538464,0.5681818181818182,0.30250024795532227,RO-cfBH,0.1,-0.5192742650261104
0.22448979591836735,0.8636363636363636,0.29909777641296387,RO-cfBH,0.2,-0.5241868156385897
0.2631578947368421,0.9545454545454546,0.3020012378692627,RO-cfBH,0.3,-0.5199912769147423
0.125,0.7954545454545454,0.006146907806396484,LOO-cfBH,0.1,-2.2113433005400394
0.2711864406779661,0.9772727272727273,0.006083250045776367,LOO-cfBH,0.2,-2.215864331939336
0.3230769230769231,1.0,0.00600123405456543,LOO-cfBH,0.3,-2.22175943495295
0.1111111111111111,0.7272727272727273,0.0036630630493164062,cfBH,0.1,-2.436155606114448
0.2711864406779661,0.9772727272727273,0.0036551952362060547,cfBH,0.2,-2.437089420965366
0.3230769230769231,1.0,0.003545999526977539,cfBH,0.3,-2.4502613266682816
0.038461538461538464,0.5681818181818182,0.2918062210083008,RO-cfBH,0.1,-0.5349054536325005
0.22448979591836735,0.8636363636363636,0.2935481071472168,RO-cfBH,0.2,-0.5323207156888697
0.2631578947368421,0.9545454545454546,0.3008568286895752,RO-cfBH,0.3,-0.5216401266734244
0.10256410256410256,0.7954545454545454,0.0059893131256103516,LOO-cfBH,0.1,-2.2226229810934734
0.2711864406779661,0.9772727272727273,0.0058307647705078125,LOO-cfBH,0.2,-2.234274478889554
0.3230769230769231,1.0,0.006102085113525391,LOO-cfBH,0.3,-2.2145217389950513
0.15217391304347827,0.8863636363636364,0.003961801528930664,cfBH,0.1,-2.4021072847412404
0.30158730158730157,1.0,0.003671884536743164,cfBH,0.2,-2.4351109837463154
0.30158730158730157,1.0,0.003615140914916992,cfBH,0.3,-2.4418747696341474
0.038461538461538464,0.5681818181818182,0.30123090744018555,RO-cfBH,0.1,-0.521100469914641
0.22448979591836735,0.8636363636363636,0.2961740493774414,RO-cfBH,0.2,-0.528452996813831
0.2631578947368421,0.9545454545454546,0.30373406410217285,RO-cfBH,0.3,-0.5175064987567415
0.125,0.7954545454545454,0.0058710575103759766,LOO-cfBH,0.1,-2.231283665437937
0.2711864406779661,0.9772727272727273,0.005856037139892578,LOO-cfBH,0.2,-2.232396177578207
0.3230769230769231,1.0,0.006115913391113281,LOO-cfBH,0.3,-2.2135386733623847
0.0,0.29545454545454547,0.0038862228393554688,cfBH,0.1,-2.4104723002036286
0.25862068965517243,0.9772727272727273,0.0037012100219726562,cfBH,0.2,-2.431656270539609
0.3125,1.0,0.0035479068756103516,cfBH,0.3,-2.450027787921293
0.038461538461538464,0.5681818181818182,0.29326295852661133,RO-cfBH,0.1,-0.5327427884459889
0.22448979591836735,0.8636363636363636,0.29289984703063965,RO-cfBH,0.2,-0.5332808551322165
0.2631578947368421,0.9545454545454546,0.28981900215148926,RO-cfBH,0.3,-0.5378731431609477
0.125,0.7954545454545454,0.006211757659912109,LOO-cfBH,0.1,-2.2067854957985813
