Coverage,Length,Time,Dataset,Method,Algorithm,m,LogTime
0.91,2.8371653460615334,75.64661192893982,Boston,FullCP,RLM,100,1.8787894815526445
1.0,2.8689248088859753,0.010978937149047852,Boston,SplitCP,RLM,1,-1.9594397011104936
0.95,3.4254747346270915,0.009196996688842773,Boston,SplitCP,RLM,100,-2.0363539698724002
1.0,2.8906813880802664,0.014716863632202148,Boston,RO-StabCP,RLM,1,-1.8321847343164201
0.93,2.9004476989874575,1.2409191131591797,Boston,RO-StabCP,RLM,100,0.09374347380050306
1.0,2.8806749037305712,0.014796018600463867,Boston,LOO-StabCP,RLM,1,-1.8298551313932925
0.93,2.899416664352103,0.014659643173217773,Boston,LOO-StabCP,RLM,100,-1.8338766006218021
1.0,2.8414020038838057,0.016180992126464844,Boston,OracleCP,RLM,1,-1.7909948534382485
0.83,2.758054924799381,1.2307372093200684,Boston,OracleCP,RLM,100,0.09016533097692463
1.0,2.787687569972512,0.9305479526519775,Boston,FullCP,RLM,1,-0.03126124205438621
0.83,2.7088586665953516,75.94958519935608,Boston,FullCP,RLM,100,1.8805254062946224
1.0,3.1113674155877558,0.010591983795166016,Boston,SplitCP,RLM,1,-1.9750226923374723
0.83,2.5609600837092783,0.00954294204711914,Boston,SplitCP,RLM,100,-2.0203177135713593
1.0,2.8523124244335007,0.014871597290039062,Boston,RO-StabCP,RLM,1,-1.8276423833949678
0.83,2.7784756078789754,1.1974399089813232,Boston,RO-StabCP,RLM,100,0.07825372847271443
1.0,2.8558059784215883,0.014869928359985352,Boston,LOO-StabCP,RLM,1,-1.8276911238074334
0.83,2.7769820678851254,0.014609098434448242,Boston,LOO-StabCP,RLM,100,-1.8353765846834709
1.0,2.841402003883775,0.015465974807739258,Boston,OracleCP,RLM,1,-1.8106227015722165
0.86,2.7812585079177823,1.3220360279083252,Boston,OracleCP,RLM,100,0.1212432906326602
1.0,2.7875572849944286,0.9112436771392822,Boston,FullCP,RLM,1,-0.04036547210941077
0.85,2.7096784333600312,75.19945192337036,Boston,FullCP,RLM,100,1.8762146753320237
1.0,2.54698342699921,0.011581897735595703,Boston,SplitCP,RLM,1,-1.9362202740652728
0.86,2.7969720179972493,0.009461164474487305,Boston,SplitCP,RLM,100,-2.0240554076023596
1.0,2.859359529488362,0.014932870864868164,Boston,RO-StabCP,RLM,1,-1.8258566905393232
0.86,2.802746903937562,1.1970860958099365,Boston,RO-StabCP,RLM,100,0.078125386488732
1.0,2.860349901522734,0.014970064163208008,Boston,LOO-StabCP,RLM,1,-1.8247763382229154
0.86,2.8014536201710745,0.014579057693481445,Boston,LOO-StabCP,RLM,100,-1.8362705454108013
1.0,2.8414020038837693,0.015744924545288086,Boston,OracleCP,RLM,1,-1.802859416300447
0.93,2.857357343942697,1.2007811069488525,Boston,OracleCP,RLM,100,0.0794638461136208
1.0,2.787731545978157,0.9136009216308594,Boston,FullCP,RLM,1,-0.03924347098636783
0.9,2.856469947464283,73.10724925994873,Boston,FullCP,RLM,100,1.8639604434078776
1.0,2.795679194501598,0.011120319366455078,Boston,SplitCP,RLM,1,-1.953882739993398
0.9,2.843335448407652,0.01030874252319336,Boston,SplitCP,RLM,100,-1.9867943074172492
1.0,2.8514294306177437,0.015070915222167969,Boston,RO-StabCP,RLM,1,-1.8218603731752077
0.91,2.88164685009622,1.2450129985809326,Boston,RO-StabCP,RLM,100,0.09517388571488931
1.0,2.855180706525382,0.014881134033203125,Boston,LOO-StabCP,RLM,1,-1.8273639716398702
0.91,2.8800963517000104,0.015395164489746094,Boston,LOO-StabCP,RLM,100,-1.8126156665134676
1.0,2.8414020038837835,0.01578378677368164,Boston,OracleCP,RLM,1,-1.8017887946868683
0.89,2.828488156703333,1.2306571006774902,Boston,OracleCP,RLM,100,0.09013706184402268
1.0,2.787019914423078,0.9361979961395264,Boston,FullCP,RLM,1,-0.028632292781827672
0.89,2.7630523065036066,73.79976987838745,Boston,FullCP,RLM,100,1.8680550076129832
1.0,2.952307058497634,0.012292861938476562,Boston,SplitCP,RLM,1,-1.910346995926221
0.89,2.832905311330402,0.00945281982421875,Boston,SplitCP,RLM,100,-2.0244386199116167
1.0,2.89633519795467,0.015720844268798828,Boston,RO-StabCP,RLM,1,-1.803524134413987
0.89,2.84888222310568,1.1955299377441406,Boston,RO-StabCP,RLM,100,0.0775604559300771
1.0,2.8837081532525892,0.01603984832763672,Boston,LOO-StabCP,RLM,1,-1.7947997427090787
0.89,2.848382232322317,0.014531135559082031,Boston,LOO-StabCP,RLM,100,-1.8377004457313637
1.0,2.8414020038837693,0.015937089920043945,Boston,OracleCP,RLM,1,-1.7975909769829632
0.96,2.9635788127628455,1.2897858619689941,Boston,OracleCP,RLM,100,0.1105176120938777
1.0,2.7876319182779445,0.9227561950683594,Boston,FullCP,RLM,1,-0.034913030418436915
0.96,2.9019412930025137,72.41120386123657,Boston,FullCP,RLM,100,1.8598057678361226
1.0,2.5230011572244457,0.010998010635375977,Boston,SplitCP,RLM,1,-1.9586858646793384
0.96,3.5689839451155847,0.009760856628417969,Boston,SplitCP,RLM,100,-2.0105120662810996
1.0,2.8636784774671717,0.014833211898803711,Boston,RO-StabCP,RLM,1,-1.8287647991474052
0.96,2.9861156210970163,1.2930047512054443,Boston,RO-StabCP,RLM,100,0.11160012071837995
1.0,2.8630820114954005,0.014958858489990234,Boston,LOO-StabCP,RLM,1,-1.8251015462050593
0.96,2.985210979206043,0.016566038131713867,Boston,LOO-StabCP,RLM,100,-1.780781343316713
1.0,2.841402003883765,0.016742944717407227,Boston,OracleCP,RLM,1,-1.7761681567339707
